Epoch,TrainAcc,ValAcc,Loss
1,58.1,78.4,1.34781
2,79.1,85.2,0.769496
3,85.7,85.8,0.482367
4,86.3,83,0.634059
5,91.9,87.2,0.324059
6,93.7,90.6,0.197583
7,94.4,89.2,0.20105
8,92.8,87,0.309992
9,92.8,88.2,0.328311
10,93.7,88.8,0.230692
11,94.8,89.6,0.27538
12,94.7,87.2,0.259215
13,96,88.4,0.203912
14,95.5,89.8,0.330107
15,96.9,91,0.187958
16,96.8,89.8,0.194943
17,95.5,91.2,0.255361
18,97,92,0.115207
19,97.2,92.4,0.097529
20,97.5,90.8,0.172265
21,96.3,90.6,0.262455
22,96.5,86.4,0.271376
23,96.8,90.4,0.270766
24,97.4,89.4,0.190486
25,97.5,91,0.130819
26,98.1,90.8,0.0875415
27,97.2,90.6,0.182837
28,97.9,92,0.169229
29,98.2,91.6,0.0872148
30,97.3,91.8,0.245594
